344|HKG|Hong Kong|22.3964280000|114.1094970000|
348|HUN|Hungary|47.1624940000|19.5033040000|
352|ISL|Iceland|64.9630510000|-19.0208350000|
356|IND|India|20.5936840000|78.9628800000|
360|IDN|Indonesia|-0.7892750000|113.9213270000|
364|IRN|Iran|32.4279080000|53.6880460000|
368|IRQ|Iraq|33.2231910000|43.6792910000|
372|IRL|Ireland|53.4129100000|-8.2438900000|
376|ISR|Israel|31.0460510000|34.8516120000|
380|ITA|Italy|41.8719400000|12.5673800000|
384|CIV|Ivory Coast|7.5399890000|-5.5470800000|
388|JAM|Jamaica|18.1095810000|-77.2975080000|
392|JPN|Japan|36.2048240000|138.2529240000|
398|KAZ|Kazakhstan|48.0195730000|66.9236840000|
400|JOR|Jordan|30.5851640000|36.2384140000|
404|KEN|Kenya|-0.0235590000|37.9061930000|
408|PRK|North Korea|40.3398520000|127.5100930000|
410|KOR|South Korea|35.9077570000|127.7669220000|
414|KWT|Kuwait|29.3116600000|47.4817660000|
417|KGZ|Kyrgyzstan|41.2043800000|74.7660980000|
418|LAO|Laos|19.8562700000|102.4954960000|
422|LBN|Lebanon|33.8547210000|35.8622850000|
426|LSO|Lesotho|-29.6099880000|28.2336080000|
428|LVA|Latvia|56.8796350000|24.6031890000|
430|LBR|Liberia|6.4280550000|-9.4294990000|
434|LBY|Libya|26.3351000000|17.2283310000|
438|LIE|Liechtenstein|47.1660000000|9.5553730000|
440|LTU|Lithuania|55.1694380000|23.8812750000|
442|LUX|Luxembourg|49.8152730000|6.1295830000|
446|MAC|Macao|22.1987450000|113.5438730000|
450|MDG|Madagascar|-18.7669470000|46.8691070000|
454|MWI|Malawi|-13.2543080000|34.3015250000|
458|MYS|Malaysia|4.2104840000|101.9757660000|
462|MDV|Maldives|1.9772470000|73.5361034000|
466|MLI|Mali|17.5706920000|-3.9961660000|
470|MLT|Malta|35.9374960000|14.3754160000|
474|MTQ|Martinique|14.6415280000|-61.0241740000|
478|MRT|Mauritania|21.0078900000|-10.9408350000|
480|MUS|Mauritius|-20.3484040000|57.5521520000|
484|MEX|Mexico|23.6345010000|-102.5527840000|
492|MCO|Monaco|43.7384176000|7.4246158000|
496|MNG|Mongolia|46.8624960000|103.8466560000|
498|MDA|Moldova|47.4116310000|28.3698850000|
499|MNE|Montenegro|42.7086780000|19.3743900000|
500|MSR|Montserrat|16.7424980000|-62.1873660000|
504|MAR|Morocco|31.7917020000|-7.0926200000|
508|MOZ|Mozambique|-18.6656950000|35.5295620000|
512|OMN|Oman|21.5125830000|55.9232550000|
516|NAM|Namibia|-22.9576400000|18.4904100000|
520|NRU|Nauru|-0.5227780000|166.9315030000|
524|NPL|Nepal|28.3948570000|84.1240080000|
528|NLD|Netherlands|52.1326330000|5.2912660000|
531|CUW|Curacao|12.1695700000|-68.9900200000|
533|ABW|Aruba|12.5211100000|-69.9683380000|
534|SXM|Sint Maarten|18.0424800000|-63.0548300000|
535|BES|Bonaire, Sint Eustatius and Saba|12.1783611000|-68.2385339000|
540|NCL|New Caledonia|-20.9043050000|165.6180420000|
548|VUT|Vanuatu|-15.3767060000|166.9591580000|
554|NZL|New Zealand|-40.9005570000|174.8859710000|
558|NIC|Nicaragua|12.8654160000|-85.2072290000|
562|NER|Niger|17.6077890000|8.0816660000|
566|NGA|Nigeria|9.0819990000|8.6752770000|
570|NIU|Niue|-19.0544450000|-169.8672330000|
574|NFK|Norfolk Island|-29.0408350000|167.9547120000|
578|NOR|Norway|60.4720240000|8.4689460000|
580|MNP|Northern Mariana Islands|15.0979000000|145.6739000000|
581|UMI|United States Minor Outlying Islands|19.2823192000|166.6470470000|
583|FSM|Micronesia|6.8874813000|158.2150717000|
584|MHL|Marshall Islands|6.0683936000|171.9893790000|
585|PLW|Palau|7.5149800000|134.5825200000|
586|PAK|Pakistan|30.3753210000|69.3451160000|
591|PAN|Panama|8.5379810000|-80.7821270000|
598|PNG|Papua New Guinea|-6.3149930000|143.9555500000|
600|PRY|Paraguay|-23.4425030000|-58.4438320000|
604|PER|Peru|-9.1899670000|-75.0151520000|
608|PHL|Philippines|12.8797210000|121.7740170000|
612|PCN|Pitcairn|-24.3767452000|-128.3242353000|
616|POL|Poland|51.9194380000|19.1451360000|
620|PRT|Portugal|39.3998720000|-8.2244540000|
624|GNB|Guinea-Bissau|11.8037490000|-15.1804130000|
626|TLS|Timor-Leste|-8.8742170000|125.7275390000|
630|PRI|Puerto Rico|18.2208330000|-66.5901490000|
634|QAT|Qatar|25.3271054000|51.1966577000|
638|REU|Reunion|-21.1306889000|55.5264794000|
642|ROU|Romania|45.9431610000|24.9667600000|
643|RUS|Russia|61.5240100000|105.3187560000|
646|RWA|Rwanda|-1.9402780000|29.8738880000|
652|BLM|Saint Barthelemy|17.9139222000|-62.8338521000|
654|SHN|Saint Helena, Ascension and Tristan da Cunha|-37.1052489000|-12.2776838000|
659|KNA|Saint Kitts and Nevis|17.3578220000|-62.7829980000|
660|AIA|Anguilla|18.2205540000|-63.0686150000|
662|LCA|Saint Lucia|13.9094440000|-60.9788930000|
663|MAF|Saint Martin|18.0825500000|-63.0522510000|
666|SPM|Saint Pierre and Miquelon|46.8852000000|-56.3159000000|
670|VCT|Saint Vincent and the Grenadines|13.2528179000|-61.1971628000|
673|TIB|Tibet|29.6469230000|91.1172120000|
674|SMR|San Marino|43.9423600000|12.4577770000|
678|STP|Sao Tome and Principe|0.1863600000|6.6130810000|
682|SAU|Saudi Arabia|23.8859420000|45.0791620000|
686|SEN|Senegal|14.4974010000|-14.4523620000|
688|SRB|Serbia|44.0165210000|21.0058590000|
690|SYC|Seychelles|-4.6795740000|55.4919770000|
694|SLE|Sierra Leone|8.4605550000|-11.7798890000|
702|SGP|Singapore|1.3520830000|103.8198360000|
703|SVK|Slovaki|48.6690260000|19.6990240000|
704|VNM|Vietnam|14.0583240000|108.2771990000|
705|SVN|Slovenia|46.1512410000|14.9954630000|
706|SOM|Somalia|5.1521490000|46.1996160000|
710|ZAF|South Africa|-30.5594820000|22.9375060000|
716|ZWE|Zimbabwe|-19.0154380000|29.1548570000|
724|ESP|Spain|40.4636670000|-3.7492200000|
728|SSD|Republic of South Sudan|6.8769919000|31.3069788000|
729|SDN|Sudan|12.8628070000|30.2176360000|
732|ESH|Western Sahara|24.2155270000|-12.8858340000|
740|SUR|Suriname|3.9193050000|-56.0277830000|
744|SJM|Svalbard and Jan Mayen|77.5536040000|23.6702720000|
748|SWZ|Swaziland|-26.5225030000|31.4658660000|
752|SWE|Sweden|60.1281610000|18.6435010000|
756|CHE|Switzerland|46.8181880000|8.2275120000|
760|SYR|Syria|34.8020750000|38.9968150000|
